CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Num_Products,Support_Calls,Payment_Delay_Days,Contract_Type,Internet_Service,Gender,Churned
1,56,15,55.16,2465.23,2,8,17,Month-to-Month,Fibre,Female,1
2,69,64,30.14,2933.85,4,3,28,Two Year,Fibre,Male,0
3,46,28,68.59,6455.05,2,8,16,Two Year,None,Male,0
4,32,39,45.68,2302.2,4,3,4,Month-to-Month,Fibre,Female,1
5,60,57,48.49,1764.57,4,1,11,One Year,DSL,Female,0
6,25,17,50.73,7663.84,3,1,5,Month-to-Month,Fibre,Male,1
7,38,44,100.3,170.02,1,4,21,One Year,DSL,Female,1
8,56,25,73.92,7982.78,4,3,8,One Year,Fibre,Male,1
9,36,17,51.13,5446.89,3,6,19,One Year,Fibre,Female,1
10,40,13,81.03,6644.91,1,4,0,Two Year,Fibre,Female,0
11,28,25,91.62,2427.49,2,5,21,One Year,DSL,Male,1
12,28,68,47.26,213.09,1,9,14,Month-to-Month,DSL,Female,1
13,41,10,61.35,5929.17,4,3,20,One Year,Fibre,Female,1
14,53,67,32.19,6689.74,4,1,25,Month-to-Month,None,Male,1
15,57,18,38.11,5949.76,4,9,5,Month-to-Month,Fibre,Male,1
16,41,34,88.11,1228.52,4,8,18,Month-to-Month,DSL,Female,1
17,20,8,38.14,6052.08,4,9,17,Month-to-Month,None,Male,1
18,39,40,72.52,6174.49,3,6,5,One Year,None,Female,0
19,19,42,90.9,5302.47,4,3,12,Month-to-Month,DSL,Female,1
20,41,41,30.69,6152.32,3,2,0,One Year,DSL,Male,0
21,61,6,76.73,6782.78,2,9,22,One Year,Fibre,Male,1
22,47,52,45.66,4947.47,4,2,22,Month-to-Month,None,Male,1
23,55,26,116.29,799.98,4,8,25,Two Year,None,Male,1
24,19,64,68.35,3952.26,1,4,12,Month-to-Month,None,Male,1
25,38,59,100.6,713.43,2,2,6,Month-to-Month,Fibre,Male,1
26,50,56,75.02,3319.59,4,4,14,One Year,Fibre,Female,0
27,29,59,24.34,3316.14,4,1,11,Month-to-Month,DSL,Female,1
28,39,70,83.32,621.48,2,3,26,Month-to-Month,DSL,Male,1
29,61,33,115.14,2855.68,3,9,25,One Year,Fibre,Female,1
30,42,53,80.16,976.88,4,1,0,One Year,Fibre,Female,0
31,66,22,101.92,6485.06,1,1,14,Month-to-Month,Fibre,Female,1
32,44,21,108.42,7586.74,4,7,3,Two Year,Fibre,Female,0
33,59,70,42.81,671.3,1,0,12,One Year,DSL,Male,0
34,45,70,41.2,7645.41,1,6,22,Two Year,Fibre,Female,0
35,33,4,81.1,4228.36,4,4,26,Month-to-Month,DSL,Female,1
36,32,62,61.1,2466.57,4,7,24,One Year,Fibre,Male,0
37,64,62,103.99,707.21,1,0,4,Two Year,Fibre,Male,0
